 ,100 ml
t(s),V (V)
1.73E+00,8.00E-03
1.74E+00,8.00E-03
1.74E+00,-3.20E-02
1.74E+00,-3.20E-02
1.75E+00,8.00E-03
1.75E+00,8.00E-03
1.76E+00,-2.40E-02
1.76E+00,8.00E-03
1.76E+00,-2.40E-02
1.77E+00,-2.40E-02
1.77E+00,8.00E-03
1.78E+00,8.00E-03
1.78E+00,-3.20E-02
1.78E+00,-2.40E-02
1.79E+00,8.00E-03
1.79E+00,1.60E-02
1.80E+00,-3.20E-02
1.80E+00,8.00E-03
1.80E+00,-2.40E-02
1.81E+00,-2.40E-02
1.81E+00,1.60E-02
1.82E+00,8.00E-03
1.82E+00,-3.20E-02
1.82E+00,8.00E-03
1.83E+00,-2.40E-02
1.83E+00,-2.40E-02
1.84E+00,8.00E-03
1.84E+00,8.00E-03
1.84E+00,-2.40E-02
1.85E+00,8.00E-03
1.85E+00,-2.40E-02
1.86E+00,8.00E-03
1.86E+00,-2.40E-02
1.86E+00,-2.40E-02
1.87E+00,8.00E-03
1.87E+00,8.00E-03
1.88E+00,-3.20E-02
1.88E+00,8.00E-03
1.88E+00,-2.40E-02
1.89E+00,-2.40E-02
1.89E+00,8.00E-03
1.90E+00,8.00E-03
1.90E+00,-8.00E-03
1.90E+00,-2.40E-02
1.91E+00,8.00E-03
1.91E+00,8.00E-03
1.92E+00,-2.40E-02
1.92E+00,8.00E-03
1.92E+00,-2.40E-02
1.93E+00,-2.40E-02
1.93E+00,8.00E-03
1.94E+00,8.00E-03
1.94E+00,-8.00E-03
1.94E+00,8.00E-03
1.95E+00,-2.40E-02
1.95E+00,8.00E-03
1.96E+00,-8.00E-03
1.96E+00,-2.40E-02
1.96E+00,1.60E-02
1.97E+00,-8.00E-03
1.97E+00,8.00E-03
1.98E+00,-2.40E-02
1.98E+00,8.00E-03
1.98E+00,8.00E-03
1.99E+00,-3.20E-02
1.99E+00,1.60E-02
2.00E+00,-2.40E-02
2.00E+00,1.60E-02
2.00E+00,-2.40E-02
2.01E+00,8.00E-03
2.01E+00,-2.40E-02
2.02E+00,8.00E-03
2.02E+00,-2.40E-02
2.02E+00,-2.40E-02
2.03E+00,1.60E-02
2.03E+00,-3.20E-02
2.04E+00,8.00E-03
2.04E+00,8.00E-03
2.04E+00,-3.20E-02
2.05E+00,8.00E-03
2.05E+00,-2.40E-02
2.06E+00,-2.40E-02
2.06E+00,1.60E-02
2.06E+00,8.00E-03
2.07E+00,-2.40E-02
2.07E+00,8.00E-03
2.08E+00,-4.80E-02
2.08E+00,-2.40E-02
2.08E+00,8.00E-03
2.09E+00,-2.40E-02
2.09E+00,8.00E-03
2.10E+00,-3.20E-02
2.10E+00,8.00E-03
2.10E+00,-2.40E-02
2.11E+00,1.60E-02
2.11E+00,8.00E-03
2.12E+00,-2.40E-02
2.12E+00,-2.40E-02
2.12E+00,8.00E-03
2.13E+00,-3.20E-02
2.13E+00,1.60E-02
2.14E+00,-3.20E-02
2.14E+00,2.40E-02
2.14E+00,8.00E-03
2.15E+00,-2.40E-02
2.15E+00,-2.40E-02
2.16E+00,8.00E-03
2.16E+00,8.00E-03
2.16E+00,-2.40E-02
2.17E+00,-2.40E-02
2.17E+00,1.60E-02
2.18E+00,-8.00E-03
2.18E+00,1.60E-02
2.18E+00,1.60E-02
2.19E+00,-3.20E-02
